trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
68,False,"{'a': 0.7, 'e': 0.5048858887870696}",25,0,-89.6173315178321,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
69,False,"{'a': 0.7, 'e': 0.4998370298991989}",25,4,-116.9356820023395,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 3}",1
70,False,"{'a': 0.7, 'e': 0.49483865960020695}",20,11,-14.95788528629031,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
71,False,"{'a': 0.7, 'e': 0.4898902730042049}",30,19,-31.00804076750712,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
72,False,"{'a': 0.7, 'e': 0.48499137027416284}",20,0,-44.387305142995146,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
73,False,"{'a': 0.7, 'e': 0.4801414565714212}",25,0,-12.386553728726621,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
74,False,"{'a': 0.7, 'e': 0.47534004200570695}",20,16,9.269752581386658,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.7, 'e': 0.4705866415856499}",20,1,-74.93460406819902,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 1}",1
76,False,"{'a': 0.7, 'e': 0.46588077516979337}",35,0,-37.84676293481707,"{0: 29, 1: 1, 2: 3, 3: 2, 4: 0}",0
77,False,"{'a': 0.7, 'e': 0.46122196741809546}",30,14,18.14669899127423,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.7, 'e': 0.4566097477439145}",25,0,-177.58385587307205,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 4}",0
79,False,"{'a': 0.7, 'e': 0.45204365026647536}",25,0,-72.93348262251175,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
80,False,"{'a': 0.7, 'e': 0.4475232137638106}",25,0,-139.26131903220957,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
81,False,"{'a': 0.7, 'e': 0.4430479816261725}",25,0,-25.491382790694658,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
82,False,"{'a': 0.7, 'e': 0.43861750180991077}",25,0,-15.609001521286988,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
83,False,"{'a': 0.7, 'e': 0.43423132679181164}",20,0,-46.6182547947332,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
84,False,"{'a': 0.7, 'e': 0.4298890135238935}",30,0,-56.74937434948306,"{0: 26, 1: 2, 2: 0, 3: 0, 4: 2}",1
85,False,"{'a': 0.7, 'e': 0.4255901233886546}",25,0,-21.21218783009587,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
86,False,"{'a': 0.7, 'e': 0.421334222154768}",35,18,-14.288193224650792,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
87,False,"{'a': 0.7, 'e': 0.41712087993322033}",25,0,-51.267686613372675,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
88,False,"{'a': 0.7, 'e': 0.41294967113388814}",25,0,-18.789320507311,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
89,False,"{'a': 0.7, 'e': 0.40882017442254925}",25,0,-1.8179520173338413,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
90,False,"{'a': 0.7, 'e': 0.4047319726783238}",30,11,-23.25121287236216,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
91,False,"{'a': 0.7, 'e': 0.40068465295154054}",25,0,-6.4005904135622425,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
92,False,"{'a': 0.7, 'e': 0.3966778064220251}",20,15,7.07441200296759,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.7, 'e': 0.39271102835780486}",30,11,-20.1971691109579,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 0}",1
94,False,"{'a': 0.7, 'e': 0.3887839180742268}",25,0,-15.975446798968164,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
95,False,"{'a': 0.7, 'e': 0.38489607889348454}",25,18,-0.6915624069771695,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.7, 'e': 0.38104711810454966}",30,12,-17.57821465248694,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
97,False,"{'a': 0.7, 'e': 0.37723664692350417}",25,0,-22.463886414523557,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
98,False,"{'a': 0.7, 'e': 0.37346428045426916}",30,0,-26.468625899516923,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 1}",0
99,False,"{'a': 0.7, 'e': 0.36972963764972644}",20,0,-11.686547713080628,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
100,False,"{'a': 0.7, 'e': 0.3660323412732292}",25,0,-78.08522527369827,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
101,False,"{'a': 0.7, 'e': 0.3623720178604969}",35,0,-5.744508107132841,"{0: 29, 1: 3, 2: 3, 3: 0, 4: 0}",0
102,False,"{'a': 0.7, 'e': 0.3587482976818919}",25,10,-38.700348634174,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
103,False,"{'a': 0.7, 'e': 0.355160814705073}",35,15,2.438035691653929,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
104,False,"{'a': 0.7, 'e': 0.35160920655802225}",20,6,-100.05737618965277,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 2}",1
